activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
105478515,19100037 Q02,1988-04-22,,,,Unknown
105478531,19100037 Q01,1988-05-05,,,,Unknown
105478572,19100037 Q01,1988-05-13,,,,Unknown
105478663,19100037 Q01,1988-04-28,,,,Unknown
105480107,19100037 Q01,1989-01-11,,,,Unknown
105480149,19100037 Q01,1989-01-12,,,,Unknown
105480206,19100037 Q01,1989-01-20,,,,Unknown
105480214,19100037 Q01,1989-01-31,,,,Unknown
105480974,19100037 Q01,1989-03-21,,,,Unknown
105480982,19100037 Q01,1989-03-27,,,,Unknown
105480990,19100037 Q01,1989-03-24,,,,Unknown
105481824,19100037 Q01,1989-02-28,,,,Unknown
105481972,19100037 Q01,1989-03-23,,,,Unknown
105481980,19100037 Q01,1989-03-24,,,,Unknown
105482186,19100037 Q01,1989-03-08,,,,Unknown
105482889,19100037 Q01,1989-02-15,,,,Unknown
105482897,19100037 Q01,1989-02-15,,,,Unknown
105482988,19100037 Q01,1989-02-21,,,,Unknown
105483507,19100037 Q01,1989-03-17,,,,Unknown
105483515,19100037 Q01,1989-03-16,,,,Unknown
105483739,19100037 Q01,1989-06-02,,,,Unknown
105483812,19100037 Q01,1989-10-16,,,,Unknown
105483986,19100037 Q02,1989-10-12,,,,Unknown
105484034,19100037 Q01,1989-04-13,,,,Unknown
105484109,19100037 K02,1989-05-25,240.0,,,Unknown
105484752,19100037 Q01,1989-02-15,,,,Unknown
105484992,19100037 K02,1989-10-25,720.0,,,Unknown
105489710,19100037 Q01,1989-05-22,,,,Unknown
105489736,19100037 Q01,1989-06-01,,,,Unknown
105489744,19100037 Q05,1989-06-15,,,,Unknown
105489744,19100037 Q01,1989-06-15,,,,Unknown
105489751,19100037 Q01,1989-06-15,,,,Unknown
105489777,19100037 Q01,1989-07-06,,,,Unknown
105489785,19100037 Q01,1989-07-18,,,,Unknown
105489793,19100037 Q01,1989-07-14,,,,Unknown
105489827,19100037 Q01,1989-08-01,,,,Unknown
105489967,19100037 Q01,1989-08-03,,,,Unknown
105494751,19100037 Q01,1989-06-21,,,,Unknown
105494785,19100037 F02,1989-07-06,,,,Unknown
105494868,19100037 Q01,1989-11-03,,,,Unknown
105495154,19100037 Q01,1989-10-23,,,,Unknown
105495196,19100037 Q05,1989-11-17,,,,Unknown
105495196,19100037 Q01,1989-11-17,,,,Unknown
105495212,19100037 Q02,1989-11-21,,,,Unknown
105495212,19100037 Q05,1989-11-21,,,,Unknown
105495261,19100037 Q01,1990-01-11,,,,Unknown
105495261,19100037 Q05,1990-01-11,,,,Unknown
105495287,19100037 Q07,1989-11-21,,,,Unknown
105495287,19100037 Q05,1989-11-21,,,,Unknown
105495717,19100037 Q01,1989-05-02,,,,Unknown
105495725,19100037 Q01,1989-05-02,,,,Unknown
105495949,19100037 Q01,1989-06-30,,,,Unknown
105496236,19100037 Q01,1989-12-19,,,,Unknown
105496335,19100037 Q01,1990-04-20,,,,Unknown
105496483,19100037 Q01,1989-12-13,,,,Unknown
105496491,19100037 Q01,1989-12-13,,,,Unknown
105500086,19100037 Q01,1987-01-09,,,,Unknown
105500276,19100037 Q02,1987-08-21,,,,Unknown
105501415,19100037 Q01,1987-08-26,,,,Unknown
105501928,19100037 Q01,1986-12-19,,,,Unknown
105503759,19100037 Q01,1988-02-22,,,,Unknown
105503841,19100037 Q01,1988-03-17,,,,Unknown
105503866,19100037 Q01,1988-03-22,,,,Unknown
105506059,19100037 Q01,1987-02-17,,,,Unknown
105506422,19100037 Q01,1987-03-31,,,,Unknown
105506745,19100037 Q01,1987-04-13,,,,Unknown
105507610,19100037 Q01,1987-05-18,,,,Unknown
105507644,19100037 Q01,1987-06-01,,,,Unknown
105507883,19100037 J,1987-06-18,,,,Unknown
105507958,19100037 Q01,1987-06-30,,,,Unknown
105507958,19100037 K02,1987-06-30,,,,Unknown
105508022,19100037 K02,1987-03-25,,,,Unknown
105508022,19100037 Q02,1987-03-25,,,,Unknown
