activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
306936089,19100037 K02,2003-09-16,,,,Unknown
306936089,19100037 Q02,2003-09-16,,,,Unknown
306936113,19100037 Q01,2003-11-12,,,,Unknown
306936154,19100037 Q06,2003-12-30,,,,Unknown
306936170,19100037 Q06,2003-12-26,,,,Unknown
306936196,19100037 Q06,2003-09-29,,,,Unknown
306936196,19100037 Q01,2003-09-29,,,,Unknown
306936196,19100037 K02,2003-09-29,,,,Unknown
306936212,19100037 K02,2003-09-29,,,,Unknown
306936246,19100037 Q02,2003-10-21,,,,Unknown
306936824,19100037 B06,2004-06-15,,,,Unknown
306936899,19100037 Q02,2003-10-07,,,,Unknown
306936899,19100037 K02,2003-10-07,,,,Unknown
306936899,19100037 F06,2003-10-07,,,,Unknown
306936907,19100037 Q01,2003-10-14,,,,Unknown
306936907,19100037 Q05,2003-10-14,,,,Unknown
306936907,19100037 Q02,2003-10-14,,,,Unknown
306936915,19100037 K02,2003-10-15,,,,Unknown
306936915,19100037 K01,2003-10-15,,,,Unknown
306936915,19100037 B03,2003-10-15,,,,Unknown
306936931,19100037 K02,2003-10-31,,,,Unknown
306936931,19100037 Q01,2003-10-31,,,,Unknown
306936931,19100037 Q02,2003-10-31,,,,Unknown
306936972,19260056 A,2003-12-08,,,,Unknown
306936972,19100037 K02,2003-12-08,,,,Unknown
306939208,19100037 A03,2004-06-22,,,,Unknown
306939208,19100037 B06,2004-06-22,,,,Unknown
306939224,19100037 A03,2004-06-22,,,,Unknown
306939232,19100037 B06,2004-06-24,,,,Unknown
306939240,19100037 A03,2004-06-25,,,,Unknown
306939299,19100037 A03,2004-07-06,,,,Unknown
306939307,19100037 A03,2004-07-08,,,,Unknown
306939323,19100037 A03,2004-07-13,,,,Unknown
306939349,19100037 A03   II,2004-08-05,,,,Unknown
306939349,19100037 A03,2004-08-05,,,,Unknown
306939380,19100037 K02,2003-10-01,,,,Unknown
306939455,19100037 Q06,2003-11-14,,,,Unknown
306939794,19100037 Q06,2003-12-08,,,,Unknown
306939794,19100037 K02,2003-12-08,,,,Unknown
306939927,19100037 A03,2004-06-17,,,,Unknown
306939935,19100037 B02,2004-06-17,,,,Unknown
306939984,19100037 A03,2004-06-29,,,,Unknown
306940370,19100037 Q01,2004-01-19,,,,Unknown
306940370,19100037 K02,2004-01-19,,,,Unknown
306940420,19100037 Q06,2004-02-10,0.0,,,Unknown
306940503,19100037 Q02,2003-12-24,,,,Unknown
306940503,19100037 K02,2003-12-24,,,,Unknown
306940503,19100037 Q01,2003-12-24,,,,Unknown
306940529,19100037 K02,2004-01-05,,,,Unknown
306940529,19100037 Q05,2004-01-05,,,,Unknown
306940529,19100037 Q06,2004-01-05,,,,Unknown
306940537,19100037 Q01,2004-01-30,,,,Unknown
306940545,19100037 Q06,2004-02-05,,,,Unknown
306940545,19100037 K02,2004-02-05,,,,Unknown
306940552,19100037 C01  III,2004-02-11,,,,Unknown
306940594,19100037 Q01,2003-12-12,,,,Unknown
306940644,19100037 Q01,2004-01-09,,,,Unknown
306940644,19100037 Q02,2004-01-09,,,,Unknown
306940651,19100037 Q06,2004-01-29,,,,Unknown
306940669,19100037 Q06,2004-01-30,,,,Unknown
306940826,19100037 J,2004-01-16,,,,Unknown
306940826,19100037 K01,2004-01-16,,,,Unknown
306940842,19100037 K01,2004-01-22,,,,Unknown
306940883,19100037 Q01,2004-02-09,,,,Unknown
306941055,19100037 B06,2004-08-16,,,,Unknown
306941089,19100037 A03,2004-08-26,,,,Unknown
306941121,19100037 A03,2004-09-01,,,,Unknown
306941121,19100037 A03   II,2004-09-01,,,,Unknown
306941212,19100037 Q01,2003-12-05,0.0,,,Unknown
306941238,19100037 J,2003-12-12,0.0,,,Unknown
306941238,19100037 I,2003-12-12,0.0,,,Unknown
306941253,19100037 Q01,2003-12-18,,,,Unknown
306942533,19100037 B04,2003-11-14,,,,Unknown
306942640,19100037 B04,2003-10-17,525.0,,,Unknown
306942749,19100037 B05,2003-10-22,525.0,,,Unknown
306942749,19100037 B04,2003-10-22,525.0,,,Unknown
306944331,19100037 A03,2004-03-23,,,,Unknown
306944968,19100037 B04,2004-07-12,,,,Unknown
306944968,19100037 A03,2004-07-12,,,,Unknown
306945437,19100037 A03,2004-05-17,,,,Unknown
306945486,19100037 A03,2004-08-10,1750.0,,,Unknown
306945486,19100037 B04,2004-08-10,1750.0,,,Unknown
306945700,19100037 B05,2004-08-20,2000.0,,,Unknown
306945700,19100037 Q05,2004-08-20,20000.0,,,Unknown
306945874,19100037 Q02,2004-07-21,,,,Unknown
306946450,19100037 K02,2004-09-09,700.0,,,Unknown
306946450,19100037 Q05,2004-09-09,700.0,,,Unknown
306946732,19100037 A03,2004-09-29,1300.0,,,Unknown
306948100,19100037 G01,2004-11-19,1125.0,,,Unknown
306948126,19100037 Q02,2004-11-22,,,,Unknown
306948365,19100037 Q02,2005-03-04,,,,Unknown
306948514,19100037 A03,2004-11-19,15000.0,,,Unknown
306949405,19100037 B04,2005-02-14,,,,Unknown
306949405,19100037 B02,2005-02-14,,,,Unknown
306949405,19100037 A03,2005-02-14,,,,Unknown
306950007,19100037 A03,2005-04-27,,,,Unknown
306950460,19100037 Q01,2005-08-15,,,,Unknown
306950494,19100037 B04,2005-08-15,1500.0,,,Unknown
306951369,19100037 A02,2005-10-26,300.0,,,Unknown
306951575,19100037 A03,2005-08-29,,,,Unknown
306952052,19100037 A03,2006-03-14,,,,Unknown
306952193,19100037 A03,2005-09-27,525.0,,,Unknown
306952193,19100037 B04,2005-09-27,525.0,,,Unknown
306952359,19100037 A03,2006-01-05,,,,Unknown
306952672,19100037 B02,2006-04-13,750.0,,,Unknown
306953985,19100037 A03,2006-04-10,,,,Unknown
306953985,19100037 B02,2006-04-10,,,,Unknown
306956590,19100037 H01,2004-02-27,,,,Unknown
306959099,19260056 A,2004-07-01,1250.0,,,Unknown
306959206,19100037 B02,2004-09-21,,,,Unknown
306959206,19100037 B04,2004-09-21,,,,Unknown
306959206,19100037 B05,2004-09-21,,,,Unknown
306959271,19100037 A03,2005-01-24,,,,Unknown
306959321,19100037 B02,2005-03-18,,,,Unknown
306959891,19100037 B05,2004-03-30,,,,Unknown
306960436,19100037 A03,2004-09-09,1500.0,,,Unknown
306960808,19100037 B02,2004-05-18,,,,Unknown
306961541,19100037 A03,2004-06-29,,,,Unknown
306963760,19100037 A03,2004-10-07,1500.0,,,Unknown
306964693,19100037 F01,2003-10-31,450.0,,,Unknown
306964719,19100037 Q02,2003-10-01,,,,Unknown
306964719,19100037 Q01,2003-10-01,525.0,,,Unknown
306976168,19100037 F06,2003-09-16,,,,Unknown
306978271,19100037 B04,2004-09-21,,,,Unknown
306978271,19100037 B06,2004-09-21,,,,Unknown
306978479,19100037 A,2005-01-04,,,,Unknown
306978479,19100037 A03,2005-01-04,,,,Unknown
306978479,19100037 B02,2005-01-04,,,,Unknown
306978479,19100037 K02,2005-01-04,,,,Unknown
306978750,19100037 B07,2005-01-07,,,,Unknown
306978750,19100037 A03,2005-01-07,,,,Unknown
306978750,19100037 A02,2004-12-31,,,,Unknown
306978792,19100037 K02,2005-03-03,,,,Unknown
306978800,19100037 B02,2005-05-04,,,,Unknown
306978818,19100037 K02,2005-03-03,,,,Unknown
306979246,19100037 A03,2005-05-16,,,,Unknown
306979246,19100037 D02,2005-05-16,,,,Unknown
306979287,19100037 B02,2005-05-10,,,,Unknown
306979311,19100037 A03,2005-05-20,,,,Unknown
306979311,19100037 D02,2005-05-20,,,,Unknown
306979311,19100037 D03,2005-05-20,,,,Unknown
306979311,19100037 A04,2005-05-20,,,,Unknown
306979311,19100037 B04,2005-05-20,,,,Unknown
306979824,19100037 B04,2005-12-16,,,,Unknown
306979824,19100037 A04,2005-12-16,,,,Unknown
306979824,19100037 B02,2005-12-16,,,,Unknown
306979907,19100037 B02,2006-02-21,,,,Unknown
306979915,19100037 A04,2006-01-12,,,,Unknown
306979915,19100037 B01,2006-01-12,,,,Unknown
306979949,19100037 A04,2006-03-27,,,,Unknown
306980145,19100037 B02,2006-03-27,,,,Unknown
306980202,19100037 A03,2006-03-27,,,,Unknown
306980202,19100037 B02,2006-03-27,,,,Unknown
306980335,19100037 A04,2006-03-31,,,,Unknown
306980335,19100037 A03,2006-03-31,,,,Unknown
306980400,19100037 B02,2006-05-12,,,,Unknown
306980418,19100037 B07,2006-07-12,,,,Unknown
306980483,19100037 A03,2006-07-13,,,,Unknown
306980483,19100037 B02,2006-07-13,,,,Unknown
306980525,19100037 B02,2006-07-20,,,,Unknown
306980541,19100037 A03,2006-07-24,,,,Unknown
306980541,19100037 B06,2006-07-24,,,,Unknown
306980566,19100037 B05,2006-07-27,,,,Unknown
306980574,19100037 B05,2006-07-18,,,,Unknown
306980574,19100037 B06,2006-07-18,,,,Unknown
306980624,19100037 B02,2006-09-01,,,,Unknown
306980624,19100037 B05,2006-09-01,,,,Unknown
306980715,19100037 B05,2006-11-07,,,,Unknown
306980715,19100037 B01,2006-11-07,,,,Unknown
306980723,19100037 A03,2006-08-07,,,,Unknown
306980749,19100037 Q01,2006-08-14,,,,Unknown
306980749,19100037 F06,2006-08-14,,,,Unknown
306980780,19100037 B02,2006-10-16,,,,Unknown
306980848,19100037 A04,2006-10-04,,,,Unknown
306980947,19100037 B02,2007-01-18,,,,Unknown
306980988,19100037 B05,2006-11-15,,,,Unknown
306981002,19100037 A04,2006-11-17,,,,Unknown
306981051,19100037 A04,2006-11-14,,,,Unknown
306981077,19100037 A03,2007-01-08,,,,Unknown
306981077,19100037 B02,2007-01-08,,,,Unknown
306981077,19100037 B07,2007-01-08,,,,Unknown
306981077,19100037 B06,2007-01-04,,,,Unknown
306981077,19100037 A04,2007-01-08,,,,Unknown
306981101,19100037 Q01,2006-12-13,,,,Unknown
306981119,19100037 B02,2006-12-27,,,,Unknown
306981176,19100037 A03,2007-01-23,,,,Unknown
306981176,19100037 A04,2007-01-23,,,,Unknown
306981176,19100037 B06,2007-01-23,,,,Unknown
306981218,19100037 B06,2007-03-02,,,,Unknown
306981218,19100037 B02,2007-03-02,,,,Unknown
306981242,19100037 A04,2007-03-09,,,,Unknown
306981325,19100037 A03,2007-03-12,,,,Unknown
306981325,19100037 B01,2007-03-12,,,,Unknown
306981325,19100037 B06,2007-03-12,,,,Unknown
306981358,19100037 B06,2007-03-05,,,,Unknown
306981358,19100037 B07,2007-03-05,,,,Unknown
306981374,19100037 B02,2007-03-05,,,,Unknown
306981382,19100037 A03,2007-04-16,,,,Unknown
306981382,19100037 B02,2007-04-16,,,,Unknown
306981416,19100037 A03,2007-04-16,,,,Unknown
306981416,19100037 B02,2007-04-16,,,,Unknown
306981424,19100037 A03,2007-04-13,,,,Unknown
306981424,19100037 B02,2007-04-13,,,,Unknown
306981457,19100037 B04,2007-05-09,,,,Unknown
306981457,19100037 B05,2007-05-09,,,,Unknown
306981457,19100037 A03,2007-05-09,,,,Unknown
306981457,19100037 B02,2007-05-09,,,,Unknown
306981507,19100037 A03,2007-05-10,,,,Unknown
306981507,19100037 B02,2007-05-10,,,,Unknown
306981507,19100037 B06,2007-05-10,,,,Unknown
306981507,19100037 B04,2007-05-10,,,,Unknown
306981556,19100037 B05,2007-04-12,,,,Unknown
306981671,19100037 A03,2007-04-26,,,,Unknown
306981689,19100037 B02,2007-05-14,,,,Unknown
306981705,19100037 B02,2007-06-07,,,,Unknown
306981705,19100037 B04,2007-06-07,,,,Unknown
306981754,19100037 A03,2007-06-13,,,,Unknown
306981788,19100037 A03,2007-06-19,,,,Unknown
306981788,19100037 B02,2007-06-19,,,,Unknown
306981903,19100037 B07,2007-06-06,,,,Unknown
306981903,19100037 B02,2007-06-05,,,,Unknown
306981937,19100037 B06,2007-08-31,,,,Unknown
306981937,19100037 B02,2007-08-30,,,,Unknown
306981937,19100037 A03,2007-08-31,,,,Unknown
306982059,19100037 B06,2007-09-03,,,,Unknown
306982059,19100037 B02,2007-09-03,,,,Unknown
306982117,19100037 B02,2007-09-07,,,,Unknown
306982117,19100037 A03,2007-09-07,,,,Unknown
306982224,19100037 B02,2007-09-07,,,,Unknown
306982273,19100037 A03,2007-10-01,,,,Unknown
306982620,19100037 A03,2007-09-25,,,,Unknown
306982687,19100037 B02,2007-11-13,,,,Unknown
306982687,19100037 B04,2007-11-13,,,,Unknown
306982737,19100037 B02,2007-11-28,,,,Unknown
306982745,19100037 B02,2007-11-28,,,,Unknown
306982752,19100037 A03,2007-12-17,,,,Unknown
306982844,19100037 B04,2007-12-17,,,,Unknown
306982851,19100037 A03,2007-12-13,,,,Unknown
306982877,19100037 B02,2008-02-04,,,,Unknown
306982877,19100037 B05,2008-02-04,,,,Unknown
306982885,19100037 B02,2007-12-19,,,,Unknown
306982885,19100037 B05,2007-12-19,,,,Unknown
306982992,19100037 B02,2008-01-18,,,,Unknown
306983024,19100037 B01,2008-02-04,,,,Unknown
306983081,19100037 A03,2008-02-01,,,,Unknown
306983248,19100037 B02,2008-01-30,,,,Unknown
306983339,19100037 B06,2008-02-14,,,,Unknown
306983339,19100037 B02,2008-02-14,,,,Unknown
306983339,19100037 A03,2008-02-14,,,,Unknown
306983388,19100037 B02,2008-07-09,,,,Unknown
306983388,19100037 A03,2008-07-09,,,,Unknown
306983453,19100037 B02,2008-02-29,,,,Unknown
306983461,19100037 A03,2008-02-29,,,,Unknown
306983487,19100037 B02,2008-03-19,,,,Unknown
306983644,19100037 B02,2008-04-22,,,,Unknown
306983644,19100037 B04,2008-04-22,,,,Unknown
306983669,19100037 B02,2008-05-06,,,,Unknown
306983750,19100037 B02,2008-04-22,,,,Unknown
306983750,19100037 A03,2008-04-22,,,,Unknown
306983826,19100037 A03,2008-06-30,,,,Unknown
306983826,19100037 B02,2008-06-30,,,,Unknown
306983990,19100037 B02,2008-09-03,,,,Unknown
306983990,19100037 A03,2008-09-03,,,,Unknown
306984055,19100037 B02,2008-09-03,,,,Unknown
306984055,19100037 A03,2008-09-03,,,,Unknown
306984220,19100037 B02,2008-09-03,,,,Unknown
306984311,19100037 A03,2008-09-12,,,,Unknown
306984485,19100037 B02,2008-10-31,,,,Unknown
306984550,19100037 B04,2008-10-31,,,,Unknown
306984576,19100037 A03,2008-11-21,,,,Unknown
306984576,19100037 B02,2008-11-21,,,,Unknown
306984931,19100037 B06,2008-12-19,,,,Unknown
