activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
111006300,19100037 Q01,1990-09-26,,,,Unknown
111006367,19100037 Q01,1990-10-15,,,,Unknown
111006367,19100037 Q02,1990-10-15,,,,Unknown
111006375,19100037 Q01,1990-10-19,,,,Unknown
111006383,19100037 Q01,1990-10-08,,,,Unknown
111006391,19100037 Q01,1990-10-24,,,,Unknown
111006391,19100037 Q02,1990-10-24,,,,Unknown
111006417,19100037 Q01,1990-11-09,,,,Unknown
111006441,19100037 Q01,1990-12-20,,,,Unknown
111006474,19100037 Q02,1991-01-14,,,,Unknown
111006474,19100037 Q01,1991-01-14,,,,Unknown
111007944,19100037 Q01,1990-07-05,,,,Unknown
111008041,19100037 Q01,1990-03-27,,,,Unknown
111008041,19100037 Q02,1990-03-27,,,,Unknown
111008041,19100037 Q05,1990-03-27,,,,Unknown
111008454,19100037 Q01,1991-10-24,,,,Unknown
111008454,19100037 Q02,1991-10-24,,,,Unknown
111008462,19100037 K02,1991-11-15,240.0,,,Unknown
111008512,19100037 Q02,1991-11-18,,,,Unknown
111008637,19100037 F02,1992-02-25,4500.0,,,Unknown
111009833,19100037 Q01,1991-02-07,,,,Unknown
111009833,19100037 Q02,1991-02-07,,,,Unknown
111009981,19100037 Q01,1991-03-06,,,,Unknown
111009981,19100037 Q02,1991-03-06,,,,Unknown
111011698,19100037 Q01,1990-06-19,,,,Unknown
111011714,19100037 Q01,1990-07-09,,,,Unknown
111011722,19100037 Q01,1990-07-10,,,,Unknown
111011763,19100037 Q01,1990-08-08,,,,Unknown
111011789,19100037 Q01,1990-08-03,,,,Unknown
111012035,19100037 Q01,1990-09-25,,,,Unknown
111012084,19100037 Q02,1990-11-08,,,,Unknown
111012183,19100037 Q01,1991-01-09,,,,Unknown
111012191,19100037 Q01,1991-01-14,,,,Unknown
111012209,19100037 Q01,1991-01-14,,,,Unknown
111012217,19100037 Q02,1991-01-15,,,,Unknown
111012217,19100037 Q01,1991-01-15,,,,Unknown
111015475,19100037 Q01,1991-04-17,,,,Unknown
111015483,19100037 Q01,1991-04-01,,,,Unknown
111015483,19100037 Q02,1991-04-01,,,,Unknown
111015491,19100037 Q02,1991-05-24,,,,Unknown
111015525,19100037 Q02,1991-07-02,,,,Unknown
111015558,19100037 Q01,1991-08-06,,,,Unknown
111018594,19100037 Q01,1990-07-16,,,,Unknown
111018842,19100037 Q01,1990-08-15,,,,Unknown
111018859,19100037 Q01,1990-08-13,,,,Unknown
111018859,19100037 Q05,1990-08-13,,,,Unknown
111018859,19100037 Q02,1990-08-13,,,,Unknown
111018941,19100037 Q02,1990-08-28,,,,Unknown
111020194,19100037 Q01,1990-10-16,,,,Unknown
111020392,19100037 Q01,1990-12-13,,,,Unknown
111020418,19100037 Q01,1991-01-14,,,,Unknown
111020483,19100037 Q02,1991-01-18,,,,Unknown
111020756,19100037 Q01,1990-10-03,,,,Unknown
111021085,19100037 Q01,1990-08-29,,,,Unknown
111021085,19100037 Q02,1990-08-29,,,,Unknown
111021135,19100037 Q01,1990-10-12,,,,Unknown
111021143,19100037 Q01,1990-10-15,,,,Unknown
111022158,19100037 Q01,1991-03-28,,,,Unknown
111022166,19100037 Q01,1991-02-13,,,,Unknown
111022166,19100037 Q02,1991-02-13,,,,Unknown
111024238,19100037 Q01,1990-10-19,,,,Unknown
111024311,19100037 Q01,1990-11-01,,,,Unknown
111024352,19100037 Q02,1990-12-03,,,,Unknown
111026704,19100037 Q02,1991-08-15,,,,Unknown
111026720,19100037 Q02,1991-10-08,,,,Unknown
111026746,19100037 Q02,1991-12-19,,,,Unknown
111026753,19100037 Q02,1992-02-28,,,,Unknown
111026860,19100037 Q01,1991-09-23,,,,Unknown
111026860,19100037 Q02,1991-09-23,,,,Unknown
111028015,19100037 Q01,1990-12-19,,,,Unknown
111028098,19100037 Q01,1991-01-11,,,,Unknown
111028197,19100037 Q02,1991-02-06,,,,Unknown
111028197,19100037 Q05,1991-02-06,,,,Unknown
111028197,19100037 Q01,1991-02-06,,,,Unknown
111028213,19100037 Q05,1991-02-06,,,,Unknown
111028213,19100037 Q02,1991-02-06,,,,Unknown
111028239,19100037 Q01,1991-02-08,,,,Unknown
111028254,19100037 Q02,1991-03-07,,,,Unknown
111028270,19100037 Q01,1991-03-15,,,,Unknown
111028270,19100037 Q02,1991-03-15,,,,Unknown
111028288,19100037 Q01,1991-03-26,,,,Unknown
111028320,19100037 Q01,1991-03-26,,,,Unknown
111028320,19100037 Q02,1991-03-26,,,,Unknown
111029013,19100037 Q01,1991-01-29,,,,Unknown
111029138,19100037 Q02,1991-03-01,,,,Unknown
111029302,19100037 Q01,1991-01-17,,,,Unknown
111029344,19100037 Q01,1991-02-25,,,,Unknown
111029351,19100037 K02,1991-02-27,1000.0,,,Unknown
111029401,19100037 Q01,1991-03-27,,,,Unknown
111029419,19100037 K02,1991-03-28,490.0,,,Unknown
111029419,19100037 Q01,1991-03-28,,,,Unknown
111029443,19100037 Q02,1991-04-05,,,,Unknown
111029468,19100037 Q01,1991-04-11,,,,Unknown
111029484,19100037 Q01,1991-04-23,,,,Unknown
111030995,19100037 Q01,1990-12-18,,,,Unknown
111032033,19100037 Q01,1990-12-28,,,,Unknown
111032041,19100037 Q01,1991-01-11,,,,Unknown
111034427,19100037 Q01,1991-02-06,,,,Unknown
111034526,19100037 Q01,1991-02-27,,,,Unknown
111034559,19100037 Q01,1991-02-28,,,,Unknown
111034674,19100037 Q01,1991-02-26,,,,Unknown
111034708,19100037 Q01,1991-06-05,,,,Unknown
111034831,19100037 Q01,1991-07-01,,,,Unknown
111034914,19100037 K02,1991-02-13,560.0,,,Unknown
111034971,19100037 Q01,1991-03-19,,,,Unknown
111035069,19100037 Q01,1991-04-18,,,,Unknown
111035119,19100037 Q01,1991-05-07,,,,Unknown
111036646,19100037 Q01,1991-03-25,,,,Unknown
111036919,19100037 Q01,1991-05-23,,,,Unknown
111037024,19100037 Q01,1991-03-27,,,,Unknown
111037149,19100037 Q02,1991-05-28,,,,Unknown
111037271,19100037 Q01,1991-05-17,,,,Unknown
111037289,19100037 Q01,1991-06-04,,,,Unknown
111037289,19100037 K02,1991-06-04,720.0,,,Unknown
111037354,19100037 Q01,1991-05-09,,,,Unknown
111037354,19100037 Q02,1991-05-09,,,,Unknown
111037396,19100037 Q01,1991-06-12,,,,Unknown
111037396,19100037 Q02,1991-06-12,,,,Unknown
111037404,19100037 Q02,1991-06-25,,,,Unknown
111037404,19100037 Q01,1991-06-25,,,,Unknown
111037412,19100037 Q02,1992-04-22,,,,Unknown
111037420,19100037 Q02,1992-01-14,4500.0,,,Unknown
111037420,19100037 Q02,1992-01-14,,,,Unknown
111037438,19100037 Q02,1992-02-14,,,,Unknown
111037446,19100037 Q01,1992-04-27,,,,Unknown
111037446,19100037 Q02,1992-04-27,,,,Unknown
111037453,19100037 Q02,1991-10-02,,,,Unknown
111037461,19100037 Q02,1992-05-01,,,,Unknown
111037461,19100037 Q01,1992-05-01,,,,Unknown
111039731,19100037 Q02,1990-04-23,,,,Unknown
111040168,19100037 Q01,1990-05-23,,,,Unknown
111042552,19100037 Q02,1990-09-05,,,,Unknown
111042552,19100037 Q01,1990-09-05,140.0,,,Unknown
111043790,19100037 Q01,1991-04-08,,,,Unknown
111045456,19100037 Q01,1990-07-20,,,,Unknown
