activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
302230479,19100037 Q05,1998-06-16,,,,Unknown
302230487,19100037 G04,1998-06-16,,,,Unknown
302230487,19100037 F01,1998-06-16,825.0,,,Unknown
302230792,19100037 Q02,1998-06-11,,,,Unknown
302230834,19100037 Q01,1998-07-22,,,,Unknown
302231048,19100037 K02,1998-06-26,,,,Unknown
302231089,19100037 K02,1998-07-02,,,,Unknown
302231113,19100037 Q01,1998-07-08,,,,Unknown
302231196,19100037 Q01,1998-07-13,,,,Unknown
302231279,19100037 Q01,1998-07-24,,,,Unknown
302231402,19100037 Q01,1998-07-13,,,,Unknown
302231410,19100037 Q06,1998-07-08,,,,Unknown
302231428,19100037 Q01,1998-07-17,,,,Unknown
302231626,19100037 Q01,1998-10-16,,,,Unknown
302231683,19100037 Q01,1998-07-22,,,,Unknown
302231683,19100037 K02,1998-07-22,,,,Unknown
302231683,19100037 J,1998-07-22,,,,Unknown
302231758,19100037 Q06,1998-07-29,,,,Unknown
302231824,19100037 Q01,1998-07-29,,,,Unknown
302231824,19100037 K02,1998-07-29,,,,Unknown
302231824,19100037 K01,1998-07-29,,,,Unknown
302231949,19100037 Q01,1998-07-31,,,,Unknown
302231964,19100037 Q05,1998-08-11,,,,Unknown
302232012,19100037 F03,1998-08-07,,,,Unknown
302232012,19100037 Q01,1998-08-07,,,,Unknown
302232012,19100037 Q05,1998-08-07,,,,Unknown
302232079,19100037 K02,1998-10-02,,,,Unknown
302232079,19100037 Q01,1998-10-02,,,,Unknown
302232160,19100037 Q01,1998-09-01,,,,Unknown
302232525,19100037 K02,1998-09-01,113.0,,,Unknown
302232525,19100037 F02,1998-09-01,,,,Unknown
302232657,19100037 K02,1998-09-14,600.0,,,Unknown
302232699,19100037 Q02,1998-09-22,,,,Unknown
302232699,19100037 Q01,1998-09-22,,,,Unknown
302232897,19100037 K02,1998-10-16,,,,Unknown
302232921,19100037 Q01,1998-08-19,,,,Unknown
302233150,19100037 Q01,1998-09-04,,,,Unknown
302233150,19100037 F01,1998-09-04,250.0,,,Unknown
302233531,19100037 Q02,1998-09-22,,,,Unknown
302233762,19260056 A,1998-09-04,,,,Unknown
302233812,19100037 H01,1998-10-23,,,,Unknown
302234216,19100037 K02,1999-01-29,,,,Unknown
302234315,19100037 K02,1998-10-23,,,,Unknown
302234513,19100037 Q02,1998-10-16,,,,Unknown
302234729,19100037 Q01,1998-10-09,,,,Unknown
302234802,19100037 Q01,1998-11-20,,,,Unknown
302234828,19100037 K02,1998-10-23,,,,Unknown
302235031,19100037 K02,1998-10-23,,,,Unknown
302235031,19100037 Q01,1998-10-23,,,,Unknown
302235536,19100037 Q06,1998-10-23,,,,Unknown
302235643,19100037 Q02,1998-10-26,,,,Unknown
302235643,19100037 Q01,1998-10-26,,,,Unknown
302235643,19100037 F01,1998-10-26,,,,Unknown
302235734,19100037 K02,1998-10-23,,,,Unknown
302235825,19100037 K02,1998-11-04,,,,Unknown
302236146,19100037 K02,1998-11-12,,,,Unknown
302236187,19100037 Q01,1999-01-15,,,,Unknown
302236229,19100037 Q06,1998-11-20,,,,Unknown
302236237,19100037 Q06,1998-12-01,,,,Unknown
302236278,19100037 Q06,1998-11-20,,,,Unknown
302236500,19100037 Q01,1999-01-29,,,,Unknown
302236534,19100037 F02,1998-12-22,,,,Unknown
302236617,19100037 K02,1999-01-08,,,,Unknown
302236617,19100037 Q01,1999-01-08,,,,Unknown
302236617,19100037 F06,1999-01-08,,,,Unknown
302236849,19100037 F02,1998-11-20,,,,Unknown
302236997,19100037 Q02,1998-12-22,,,,Unknown
302237029,19100037 Q01,1998-12-09,,,,Unknown
302237615,19100037 Q01,1998-12-22,,,,Unknown
302237839,19100037 Q01,1999-01-08,,,,Unknown
302237839,19100037 Q02,1999-01-08,,,,Unknown
302237995,19100037 Q01,1999-01-04,,,,Unknown
302238118,19100037 Q01,1999-01-29,,,,Unknown
302238118,19100037 K03,1999-01-29,,,,Unknown
302238308,19100037 Q01,1999-01-20,,,,Unknown
302238340,19100037 F01,1999-01-14,,,,Unknown
302238365,19100037 Q01,1999-01-29,,,,Unknown
302238365,19100037 F05,1999-01-29,,,,Unknown
302238456,19100037 Q01,1999-01-14,,,,Unknown
302238506,19100037 Q06,1999-01-29,,,,Unknown
302238514,19100037 K02,1999-01-14,,,,Unknown
302238654,19100037 Q01,1999-02-16,,,,Unknown
302238712,19100037 Q01,1999-03-17,,,,Unknown
302238779,19100037 F02,1999-01-29,,,,Unknown
302238829,19100037 F01,1999-01-29,,,,Unknown
302240353,19100037 G01,1999-01-26,,,,Unknown
302240361,19100037 G01,1999-01-26,,,,Unknown
302242284,19100037 Q06,1998-10-14,,,,Unknown
302242284,19100037 Q05,1998-10-14,,,,Unknown
302242284,19100037 F02,1998-10-14,1500.0,,,Unknown
302242284,19100037 F05,1998-10-14,,,,Unknown
302243092,19100037 Q02,1998-10-14,975.0,,,Unknown
302243936,19100037 Q01,1999-01-04,,,,Unknown
302244470,19100037 F02,1999-02-09,,,,Unknown
302246103,19100037 Q05,1999-03-25,,,,Unknown
302246194,19100037 Q02,1999-04-19,,,,Unknown
302247135,19100037 Q01,1999-06-07,,,,Unknown
302247929,19100037 Q06,1999-09-10,1500.0,,,Unknown
302248166,19100037 I,1999-10-01,3150.0,,,Unknown
302248166,19100037 K02,1999-10-01,,,,Unknown
302249586,19100037 Q01,1999-10-07,,,,Unknown
302249610,19100037 F02,1999-11-05,1050.0,,,Unknown
302249909,19100037 I,1999-10-27,,,,Unknown
302250055,19100037 Q02,1999-12-10,,,,Unknown
302250055,19100037 Q01,1999-12-10,,,,Unknown
302251046,19100037 I,1999-12-17,,,,Unknown
302251046,19100037 Q01,1999-12-17,,,,Unknown
302251715,19100037 F05,1998-09-03,,,,Unknown
302251715,19100037 F06,1998-09-03,,,,Unknown
302251715,19100037 Q02,1998-09-03,,,,Unknown
302251715,19100037 Q01,1998-09-03,,,,Unknown
302251715,19100037 Q05,1998-09-03,,,,Unknown
302252994,19100037 K02,1999-04-30,,,,Unknown
302253075,19100037 F06,1999-02-17,,,,Unknown
302253075,19100037 K02,1999-02-17,,,,Unknown
302253273,19100037 Q01,1998-12-09,525.0,,,Unknown
302256284,19100037 K02,1999-07-06,2975.0,,,Unknown
302256870,19100037 H01,1999-05-12,,,,Unknown
302258652,19100037 K01,1999-08-10,450.0,,,Unknown
302259064,19100037 K02,1999-09-02,500.0,,,Unknown
302259247,19100037 F06,1999-11-08,1225.0,,,Unknown
302259528,19100037 F06,1999-09-13,2275.0,,,Unknown
302259833,19100037 Q02,2000-03-02,,,,Unknown
302260435,19100037 Q05,1999-12-15,825.0,,,Unknown
302261763,19100037 Q01,1999-12-21,,,,Unknown
302261797,19100037 Q02,1999-12-20,1500.0,,,Unknown
302261797,19100037 F01,1999-12-20,1500.0,,,Unknown
302261839,19100037 Q01,1999-12-09,,,,Unknown
302262191,19100037 F06,1998-12-28,1700.0,,,Unknown
302262191,19100037 K01,1998-12-28,1700.0,,,Unknown
302262191,19100037 I,1998-12-28,1700.0,,,Unknown
302262324,19100037 F06,1999-03-08,1500.0,,,Unknown
302269063,19100037 K02,1999-07-26,,,,Unknown
302269105,19100037 Q01,1999-08-04,,,,Unknown
302269105,19100037 Q02,1999-08-04,,,,Unknown
302269105,19100037 Q06,1999-08-04,,,,Unknown
302269105,19100037 K02,1999-08-04,,,,Unknown
302274691,19100037 Q01,1998-08-24,,,,Unknown
302274691,19100037 C02,1998-08-24,,,,Unknown
302275250,19100037 K02,1998-10-27,,,,Unknown
302275524,19100037 K02,1998-11-05,,,,Unknown
302275573,19100037 F01,1998-10-29,,,,Unknown
302277777,19100037 K02,2000-04-10,,,,Unknown
302278122,19100037 Q01,1999-07-19,,,,Unknown
