activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
100785138,19260056 A,1991-04-03,,,,Unknown
100785146,19260056 A,1991-04-08,420.0,,,Unknown
100785187,19260056 B,1991-04-12,,,,Unknown
100785609,19100037 Q02,1991-04-10,,,,Unknown
100786391,19260056 A,1990-08-03,,,,Unknown
100786581,19100037 K02,1991-01-18,,,,Unknown
100786607,19100037 Q01,1991-08-14,,,,Unknown
100789924,19100037 K02,1988-03-14,,,,Unknown
100789924,19100037 Q01,1988-03-14,,,,Unknown
100791805,19100037 K02,1988-03-15,,,,Unknown
100791805,19100037 Q01,1988-03-15,,,,Unknown
100792134,19100037 Q05,1989-01-27,,,,Unknown
100792563,19100037 F01,1989-03-27,,,,Unknown
100792860,19100037 K02,1989-01-12,,,,Unknown
100792860,19100037 Q01,1989-01-12,,,,Unknown
100793454,19100037 K02,1989-04-20,,,,Unknown
100793454,19100037 Q01,1989-04-20,,,,Unknown
100793470,19100037 K02,1989-01-26,,,,Unknown
100793470,19100037 Q02,1989-01-26,,,,Unknown
100795079,19100037 F06,1988-07-12,,,,Unknown
100795418,19100037 Q02,1988-05-04,,,,Unknown
100795434,19100037 F06,1988-09-08,,,,Unknown
100795947,19100037 Q01,1989-01-27,,,,Unknown
100796267,19100037 Q05,1987-09-02,,,,Unknown
100797406,19100037 K02,1987-11-20,60.0,,,Unknown
100797919,19100037 F05,1987-12-30,240.0,,,Unknown
100797919,19100037 K02,1987-12-30,,,,Unknown
100797919,19100037 Q01,1987-12-30,,,,Unknown
100799170,19260056 A,1987-08-10,,,,Unknown
100799949,19100037 K02,1987-10-09,,,,Unknown
100800010,19100037 Q06,1990-01-31,,,,Unknown
100800028,19100037 Q07,1990-01-31,,,,Unknown
100800028,19100037 Q05,1990-01-31,,,,Unknown
100800069,19100037 Q06,1990-01-31,,,,Unknown
100800309,19100037 A,1988-05-16,,,,Unknown
100800523,19100037 K02,1988-06-14,400.0,,,Unknown
100801620,19100037 H02,1989-10-27,360.0,,,Unknown
100801620,19100037 K02,1989-10-27,8000.0,,,Unknown
100801646,19100037 K02,1989-11-17,700.0,,,Unknown
100801711,19100037 Q02,1990-08-13,500.0,,,Unknown
100801711,19100037 B03,1990-08-10,500.0,,,Unknown
100801711,19100037 K02,1990-08-13,500.0,,,Unknown
100802198,19100037 K02,1987-08-24,,,,Unknown
100802446,19100037 Q05,1987-08-25,,,,Unknown
100802453,19100037 Q05,1987-08-24,,,,Unknown
100803048,19100037 K02,1987-10-16,,,,Unknown
100803097,19100037 F01,1987-10-14,,,,Unknown
100803790,19100037 K02,1987-10-28,200.0,,,Unknown
100803824,19100037 K02,1988-03-21,1000.0,,,Unknown
100804244,19260056 A,1987-07-16,,,,Unknown
100804293,19100037 Q01,1987-07-28,,,,Unknown
100805084,19100037 Q05,1988-01-04,,,,Unknown
100805092,19100037 Q05,1987-12-29,,,,Unknown
100805159,19100037 K02,1989-11-06,,,,Unknown
100805175,19100037 F06,1988-01-04,,,,Unknown
100805480,19100037 Q05,1988-01-11,,,,Unknown
100805514,19100037 Q05,1988-03-23,,,,Unknown
100805530,19100037 Q01,1988-01-13,,,,Unknown
100805621,19100037 Q02,1988-01-26,,,,Unknown
100805639,19100037 K01,1988-01-26,,,,Unknown
100805696,19100037 K02,1988-01-14,,,,Unknown
100805860,19100037 Q01,1988-01-15,,,,Unknown
100806504,19100037 Q01,1988-04-04,,,,Unknown
100807130,19100037 F06,1988-03-22,,,,Unknown
100807494,19100037 K02,1988-03-25,280.0,,,Unknown
100807791,19100037 Q01,1988-04-07,,,,Unknown
100808096,19100037 J,1990-11-29,120.0,,,Unknown
100808542,19100037 K02,1991-09-03,,,,Unknown
100809748,19100037 K02,1988-05-19,,,,Unknown
100810621,19100037 Q01,1988-12-08,,,,Unknown
100810621,19100037 G02,1988-12-08,,,,Unknown
100811116,19100037 Q01,1988-05-19,,,,Unknown
100811207,19100037 K02,1988-03-16,,,,Unknown
100812536,19100037 Q01,1988-06-13,,,,Unknown
100813021,19100037 K02,1988-03-30,300.0,,,Unknown
100813039,19100037 Q05,1988-03-01,,,,Unknown
100813245,19100037 K02,1991-02-27,350.0,,,Unknown
100813252,19100037 K01,1988-03-17,,,,Unknown
100813427,19100037 Q05,1988-03-18,,,,Unknown
100813583,19100037 G05,1988-04-11,,,,Unknown
100813682,19100037 Q05,1988-04-11,,,,Unknown
100813682,19100037 Q01,1988-04-11,,,,Unknown
100813880,19100037 K02,1988-04-05,360.0,,,Unknown
100813997,19100037 H01,1988-09-14,210.0,,,Unknown
100814508,19100037 Q01,1988-08-01,,,,Unknown
100814508,19100037 Q02,1988-08-01,,,,Unknown
100815059,19100037 A,1988-02-01,,,,Unknown
100815216,19100037 Q01,1989-03-06,,,,Unknown
100815273,19100037 Q01,1987-11-19,,,,Unknown
100815307,19100037 Q01,1988-02-10,,,,Unknown
100817915,19100037 Q01,1989-08-11,140.0,,,Unknown
100817915,19100037 Q02,1989-08-11,,,,Unknown
100818004,19100037 Q01,1989-06-01,,,,Unknown
100818251,19100037 K02,1990-01-22,,,,Unknown
100818269,19100037 Q01,1990-01-23,,,,Unknown
100818392,19100037 Q01,1994-07-29,,,,Unknown
100820075,19100037 K01,1987-11-13,,,,Unknown
100820075,19100037 J,1987-11-13,,,,Unknown
100820240,19100037 Q01,1987-12-28,,,,Unknown
100823012,19100037 K02,1988-04-12,,,,Unknown
