activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
120371018,19260056 A,1993-09-15,202.0,,,Unknown
120371091,19100037 Q06,1993-09-29,174.0,,,Unknown
120371109,19100037 Q06,1993-09-15,172.0,,,Unknown
120371174,19100037 Q06,1993-12-07,,,,Unknown
120371174,19100037 K01,1993-12-07,750.0,,,Unknown
120371190,19100037 Q06,1994-03-01,,,,Unknown
120371265,19100037 Q05,1993-09-29,,,,Unknown
120371604,19100037 Q06,1994-04-18,,,,Unknown
120371604,19100037 Q01,1994-04-18,,,,Unknown
120371737,19100037 J,1993-10-11,,,,Unknown
120371828,19100037 Q01,1994-03-01,255.0,,,Unknown
120371828,19100037 K02,1994-03-01,255.0,,,Unknown
120371919,19100037 Q01,1993-10-08,,,,Unknown
120372016,19100037 Q01,1994-02-23,360.0,,,Unknown
120372198,19100037 Q01,1994-08-08,1300.0,,,Unknown
120372222,19100037 K02,1995-01-10,400.0,,,Unknown
120372925,19100037 K02,1994-04-21,1575.0,,,Unknown
120373022,19100037 K02,1994-06-22,405.0,,,Unknown
120373048,19100037 K02,1994-02-23,,,,Unknown
120373097,19100037 Q01,1994-08-30,,,,Unknown
120373113,19100037 Q05,1994-09-22,,,,Unknown
120373188,19100037 Q01,1994-09-09,,,,Unknown
120373196,19100037 Q01,1994-08-30,,,,Unknown
120373303,19100037 K02,1994-04-21,,,,Unknown
120373303,19100037 Q01,1994-04-21,,,,Unknown
120373311,19100037 Q02,1994-05-12,,,,Unknown
120373329,19100037 K02,1994-06-01,495.0,,,Unknown
120373337,19100037 K02,1994-02-25,,,,Unknown
120373378,19100037 G01,1994-05-04,,,,Unknown
120373386,19100037 Q01,1994-02-25,,,,Unknown
120373436,19100037 Q01,1994-04-05,,,,Unknown
120373436,19100037 K02,1994-04-05,,,,Unknown
120373444,19100037 Q01,1994-03-01,,,,Unknown
120373956,19100037 Q01,1994-05-04,,,,Unknown
120374376,19100037 F04,1994-05-12,,,,Unknown
120374426,19100037 F06,1994-06-14,180.0,,,Unknown
120374962,19100037 I,1994-06-27,60.0,,,Unknown
120374988,19100037 Q05,1994-06-13,,,,Unknown
120374996,19100037 K02,1994-06-14,490.0,,,Unknown
120375167,19100037 J,1994-06-13,540.0,,,Unknown
120375209,19100037 Q01,1994-07-19,,,,Unknown
