activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
316107077,19100037 B05,2012-03-21,3600.0,,,Unknown
316107093,19100037 B04,2012-01-24,1800.0,,,Unknown
316108323,19100037 B06,2012-01-11,,,,Unknown
316109032,19100037 B05,2012-07-18,,,,Unknown
316109164,19100037 B05,2012-11-02,,,,Unknown
316109172,19100037 B05,2012-09-13,,,,Unknown
316109305,19100037 A03,2012-09-17,,,,Unknown
316109446,19100037 A03,2012-11-13,,,,Unknown
316109446,19100037 B02,2012-11-13,,,,Unknown
316110048,19100037 A03,2012-01-04,,,,Unknown
316110808,19100037 B04,2012-02-01,,,,Unknown
316111061,19100037 B02,2011-11-30,100.0,,,Unknown
316111756,19100037 A03,2012-02-13,,,,Unknown
316111822,19100037 B05,2011-11-29,,,,Unknown
316112085,19100037 B06,2012-02-22,,,,Unknown
316112085,19100037 A04,2012-02-22,,,,Unknown
316112408,19100037 A03,2011-11-23,,,,Unknown
316112408,19100037 B02,2011-11-23,,,,Unknown
316112416,19100037 A03,2011-11-17,,,,Unknown
316112465,19100037 B02,2011-12-12,,,,Unknown
316112481,19100037 A03,2012-01-17,,,,Unknown
316112580,19100037 H01,2011-12-12,,,,Unknown
316112580,19100037 B06,2011-12-12,,,,Unknown
316112580,19100037 B05,2011-12-12,,,,Unknown
316112622,19100037 B02,2011-11-17,,,,Unknown
316112697,19100037 B02,2012-01-03,,,,Unknown
316112747,19260056 A,2011-12-06,,,,Unknown
316112762,19260056 A,2011-12-09,,,,Unknown
316112796,19260056 A,2011-12-15,,,,Unknown
316112812,19260056 A,2012-01-06,,,,Unknown
316113364,19100037 B02,2011-12-09,,,,Unknown
316113901,19100037 A03,2011-11-22,,,,Unknown
316115500,19100037 B06,2011-12-16,,,,Unknown
316115955,19100037 B06,2012-04-12,,,,Unknown
316167667,19100037 A03,2012-11-16,3150.0,,,Unknown
316168285,19100037 B02,2011-12-01,,,,Unknown
316168525,19100037 A03,2012-04-18,450.0,,,Unknown
316168582,19100037 A03,2012-04-04,1500.0,,,Unknown
316168723,19100037 A03,2012-05-01,450.0,,,Unknown
316170158,19100037 B02,2012-11-26,,,,Unknown
316170661,19100037 B02,2011-11-21,,,,Unknown
316170802,19100037 B04,2011-12-01,,,,Unknown
316170802,19100037 A04,2011-12-01,,,,Unknown
316170828,19100037 B06,2011-12-09,,,,Unknown
316170992,19100037 A03,2011-12-08,300.0,,,Unknown
