activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
311291322,19100037 A03,2007-09-21,,,,Unknown
311293138,19100037 B01,2007-11-30,,,,Unknown
311293286,19100037 B02,2008-01-04,400.0,,,Unknown
311296289,19100037 A04,2008-03-12,,,,Unknown
311300347,19100037 B01,2008-06-24,,,,Unknown
311300347,19100037 A03,2008-06-24,,,,Unknown
311302178,19100037 B04,2007-10-02,1800.0,,,Unknown
311302293,19100037 B02,2007-10-03,675.0,,,Unknown
311302418,19100037 B04,2007-10-02,1800.0,,,Unknown
311302491,19100037 B04,2007-10-02,1800.0,,,Unknown
311302541,19100037 B02,2007-08-21,,,,Unknown
311302681,19100037 B02,2007-09-10,,,,Unknown
311306898,19260056 A,2008-01-08,7000.0,,,Unknown
311307375,19100037 B05,2009-01-14,750.0,,,Unknown
311308068,19100037 A03,2007-08-23,1125.0,,,Unknown
311308936,19100037 B02,2008-02-11,450.0,,,Unknown
311309686,19100037 B04,2008-01-29,450.0,,,Unknown
311309686,19100037 B06,2008-01-29,,,,Unknown
311311922,19100037 A03,2008-08-19,1050.0,,,Unknown
311311922,19100037 B06,2008-08-19,,,,Unknown
311313415,19100037 B02,2008-06-20,1500.0,,,Unknown
311315337,19100037 A03,2008-09-09,600.0,,,Unknown
311318885,19100037 A03,2007-08-21,,,,Unknown
311318885,19100037 B05,2007-08-21,,,,Unknown
311319115,19100037 B02,2007-11-07,,,,Unknown
311321780,19100037 A03,2007-11-05,375.0,,,Unknown
311323414,19100037 A03,2008-01-09,1050.0,,,Unknown
311324404,19100037 B05,2007-12-07,,,,Unknown
311324537,19100037 A03,2007-12-04,1625.0,,,Unknown
311327001,19100037 B01,2008-04-10,300.0,,,Unknown
311327373,19100037 A04,2008-05-22,,,,Unknown
311327449,19100037 F05,2008-07-01,,,,Unknown
311327449,19100037 B05,2008-07-01,1750.0,,,Unknown
311328405,19100037 B02,2008-08-11,450.0,,,Unknown
311329767,19100037 A03,2008-07-25,750.0,,,Unknown
311329833,19100037 B02,2008-07-09,,,,Unknown
311329999,19100037 A03,2008-08-01,1375.0,,,Unknown
311330237,19100037 Q01,2008-11-03,,,,Unknown
311330245,19100037 F01,2008-08-19,525.0,,,Unknown
311330351,19100037 B05,2008-09-04,,,,Unknown
311332381,19100037 A03,2007-08-14,,,,Unknown
311333215,19100037 A03,2007-12-07,1500.0,,,Unknown
311334502,19100037 E,2008-02-13,1275.0,,,Unknown
311335145,19100037 K02,2007-10-16,,,,Unknown
311335152,19100037 B02,2007-10-17,,,,Unknown
311335194,19100037 B06,2007-08-21,,,,Unknown
311335228,19100037 B06,2007-08-27,,,,Unknown
311335343,19100037 B01,2007-10-29,,,,Unknown
311335343,19100037 B02,2007-10-29,,,,Unknown
311336176,19100037 A03,2007-07-27,,,,Unknown
311337919,19100037 B04,2008-09-10,,,,Unknown
311338248,19100037 Q01,2007-09-27,,,,Unknown
311338958,19100037 B04,2008-01-02,,,,Unknown
311339246,19100037 B06,2007-12-04,,,,Unknown
311339253,19100037 A03,2008-01-08,,,,Unknown
311340434,19100037 A02,2007-09-27,,,,Unknown
311341002,19100037 Q02,2007-11-14,,,,Unknown
311341150,19100037 A03,2007-09-14,,,,Unknown
311341168,19100037 B02,2007-09-12,,,,Unknown
311341176,19100037 B02,2007-11-06,,,,Unknown
311341176,19100037 A03,2007-11-06,250.0,,,Unknown
311341184,19100037 B02,2007-12-14,,,,Unknown
311342091,19100037 A03,2007-09-28,,,,Unknown
311342091,19100037 B04,2007-09-28,,,,Unknown
311342513,19100037 A03,2007-10-31,,,,Unknown
311343115,19100037 B03,2008-02-29,,,,Unknown
311343115,19100037 B02,2008-02-29,,,,Unknown
311343248,19100037 A03,2008-10-24,,,,Unknown
311344030,19100037 B02,2007-10-29,,,,Unknown
311344212,19100037 A03,2007-11-30,,,,Unknown
311344378,19100037 B02,2007-11-28,,,,Unknown
311344402,19100037 B02,2008-02-01,,,,Unknown
311344402,19100037 A03,2008-02-01,,,,Unknown
311344469,19100037 A03,2008-04-18,,,,Unknown
311344543,19100037 A03,2007-10-08,100.0,,,Unknown
311344840,19100037 A03,2007-10-19,,,,Unknown
311344840,19100037 B05,2007-10-19,,,,Unknown
311345136,19100037 B02,2007-10-03,,,,Unknown
311345219,19100037 B04,2007-11-15,,,,Unknown
311345219,19100037 B05,2007-11-15,,,,Unknown
311345805,19100037 A04,2007-10-10,,,,Unknown
311345870,19100037 B05,2008-02-14,2000.0,,,Unknown
311346233,19100037 B04,2008-01-11,,,,Unknown
311346233,19100037 A03,2008-01-11,,,,Unknown
311347363,19100037 B02,2007-09-19,375.0,,,Unknown
311347363,19100037 F05,2007-09-19,,,,Unknown
311348635,19100037 B02,2007-10-16,,,,Unknown
311349138,19100037 A03,2007-10-09,750.0,,,Unknown
311349260,19100037 A03,2007-11-06,382.0,,,Unknown
311349393,19100037 A03,2008-01-16,1250.0,,,Unknown
311350284,19100037 B04,2009-08-17,,,,Unknown
311350789,19100037 B02,2007-08-29,,,,Unknown
311351704,19100037 A03,2007-09-10,1500.0,,,Unknown
311352199,19100037 B02,2007-08-06,,,,Unknown
311353197,19100037 B05,2007-09-24,,,,Unknown
311353254,19100037 A04,2007-08-16,1750.0,,,Unknown
311353411,19100037 B05,2007-10-19,,,,Unknown
311353916,19100037 B02,2007-09-24,,,,Unknown
311353916,19100037 A03,2007-09-24,750.0,,,Unknown
311353940,19100037 B02,2007-09-24,,,,Unknown
311354757,19100037 B06,2007-08-31,,,,Unknown
311354757,19100037 B02,2007-08-31,,,,Unknown
311360044,19100037 B06,2007-10-04,,,,Unknown
311360044,19100037 A03,2007-10-04,2250.0,,,Unknown
311360218,19100037 B06,2007-11-02,900.0,,,Unknown
311360226,19100037 A03,2007-09-28,,,,Unknown
311360317,19100037 A03,2007-10-25,1600.0,,,Unknown
311360440,19100037 B02,2007-11-13,,,,Unknown
311360705,19100037 A03,2007-10-25,573.0,,,Unknown
311361968,19100037 B05,2008-02-06,,,,Unknown
311361968,19100037 A03,2008-02-06,,,,Unknown
311361968,19100037 B04,2008-02-06,,,,Unknown
311361968,19100037 B02,2008-02-06,,,,Unknown
311362529,19100037 B02,2007-08-17,120.0,,,Unknown
311363238,19100037 F06,2008-05-29,2500.0,,,Unknown
311363238,19100037 Q06,2008-05-29,2500.0,,,Unknown
311363626,19100037 B05,2007-10-30,1300.0,,,Unknown
311365175,19100037 A04,2008-04-07,2250.0,,,Unknown
311365613,19100037 B01,2007-08-29,225.0,,,Unknown
311365712,19100037 A03,2007-09-05,1125.0,,,Unknown
311365985,19100037 B06,2007-10-10,,,,Unknown
311366181,19100037 A03,2007-12-19,1500.0,,,Unknown
311366447,19100037 B02,2008-01-22,,,,Unknown
