activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
15477144,19100037 I,1977-04-26,,,,Unknown
15477144,19100037 Q01,1977-04-26,,,,Unknown
15477185,19100037 K01,1973-09-06,,,,Unknown
15477185,19100037 Q01,1973-09-06,25.0,,,Unknown
15477268,19100037 F06,1973-09-27,,,,Unknown
15477300,19100037 Q01,1973-09-17,,,,Unknown
15477300,19100037 K01,1973-09-17,,,,Unknown
15477300,19100037 F02,1973-09-17,,,,Unknown
15477334,19100037 F06,1975-08-19,,,,Unknown
15477375,19100037 K02,1973-09-24,25.0,,,Unknown
15477375,19100037 Q01,1973-09-24,,,,Unknown
15477391,19100037 Q01,1973-10-10,,,,Unknown
15477409,19100037 Q01,1975-08-22,,,,Unknown
15477417,19100037 K02,1973-10-10,,,,Unknown
15477433,19100037 K02,1973-10-10,30.0,,,Unknown
15477458,19100037 K02,1973-10-10,,,,Unknown
15477474,19100037 Q01,1973-10-23,,,,Unknown
15477474,19100037 Q02,1973-10-23,,,,Unknown
15477482,19100037 Q01,1975-09-12,,,,Unknown
15477490,19100037 Q01,1973-10-18,,,,Unknown
15477540,19100037 Q01,1975-09-22,,,,Unknown
15477607,19100037 Q01,1975-09-29,25.0,,,Unknown
15477649,19100037 Q01,1975-10-09,,,,Unknown
15477748,19100037 Q01,1973-11-19,,,,Unknown
15477771,19100037 Q01,1973-11-19,,,,Unknown
15477789,19100037 Q01,1973-11-23,,,,Unknown
15477839,19100037 Q01,1973-12-05,,,,Unknown
15477946,19100037 K02,1973-12-19,30.0,,,Unknown
15477979,19100037 K02,1973-12-20,,,,Unknown
15478068,19100037 Q01,1974-01-11,,,,Unknown
15478175,19100037 K02,1974-02-05,,,,Unknown
15478241,19100037 Q01,1974-02-21,,,,Unknown
15478274,19100037 K02,1974-03-04,,,,Unknown
15478365,19100037 Q01,1974-04-22,,,,Unknown
15478365,19100037 K01,1974-04-22,,,,Unknown
15478399,19100037 K01,1974-05-01,,,,Unknown
15478449,19100037 Q01,1974-05-13,,,,Unknown
15478480,19100037 K01,1974-05-23,,,,Unknown
15478548,19100037 Q01,1974-05-31,,,,Unknown
15478662,19100037 F01,1974-06-25,,,,Unknown
15478670,19100037 Q,1974-06-26,,,,Unknown
15478746,19100037 K02,1975-11-11,30.0,,,Unknown
15479520,19100037 K02,1978-10-24,,,,Unknown
15479975,19100037 K02,1979-05-09,,,,Unknown
15479975,19100037 Q01,1979-05-09,,,,Unknown
15480122,19100037 K02,1979-07-02,,,,Unknown
15480890,19100037 K02,1980-02-07,,,,Unknown
15481641,19100037 K02,1980-10-07,,,,Unknown
15481682,19100037 K02,1980-10-16,,,,Unknown
15482417,19100037 K02,1981-05-27,,,,Unknown
15482680,19100037 Q01,1981-09-29,,,,Unknown
15482813,19100037 Q01,1981-11-13,,,,Unknown
15482813,19100037 Q06,1981-11-13,,,,Unknown
15482888,19100037 K02,1981-12-16,,,,Unknown
15482888,19100037 K02,1981-12-16,,,,Unknown
15482979,19100037 K02,1982-02-02,,,,Unknown
15482987,19100037 K02,1982-02-05,,,,Unknown
15483019,19100037 K02,1982-02-17,,,,Unknown
15483019,19100037 Q01,1982-02-17,,,,Unknown
15483068,19100037 Q01,1982-03-03,,,,Unknown
15483225,19100037 Q01,1982-05-05,,,,Unknown
15483258,19100037 Q01,1982-06-04,,,,Unknown
15483589,19100037 Q01,1982-08-18,,,,Unknown
15483910,19100037 K02,1982-12-28,,,,Unknown
15483944,19100037 Q01,1983-01-11,,,,Unknown
15483977,19100037 K02,1983-01-20,,,,Unknown
15483993,19100037 Q01,1983-01-20,,,,Unknown
15484843,19100037 Q01,1983-11-03,,,,Unknown
15484926,19100037 K02,1983-12-02,,,,Unknown
15484926,19100037 Q01,1983-12-02,,,,Unknown
15485139,19100037 H01,1984-02-14,,,,Unknown
15485188,19100037 K02,1973-09-05,,,,Unknown
15485212,19100037 K02,1975-07-25,,,,Unknown
15485212,19100037 Q01,1975-07-25,,,,Unknown
15485386,19100037 Q01,1973-11-21,,,,Unknown
15485394,19100037 Q06,1975-08-21,,,,Unknown
15485428,19100037 J,1973-11-23,,,,Unknown
15485436,19100037 Q01,1975-08-26,,,,Unknown
15485451,19100037 Q01,1975-08-27,,,,Unknown
15485451,19100037 Q05,1975-08-27,,,,Unknown
15485477,19100037 Q02,1975-09-10,,,,Unknown
15485527,19100037 F01,1974-01-30,30.0,,,Unknown
15485576,19100037 Q02,1975-09-10,,,,Unknown
15485576,19100037 Q05,1975-09-10,,,,Unknown
15485584,19100037 K,1973-12-28,,,,Unknown
15485592,19100037 Q01,1975-09-23,,,,Unknown
15485600,19100037 K01,1974-02-20,,,,Unknown
15485642,19100037 J,1974-02-08,,,,Unknown
15485659,19100037 Q06,1975-10-16,,,,Unknown
15485675,19100037 Q05,1975-10-16,,,,Unknown
15485675,19100037 Q01,1975-10-16,,,,Unknown
15485725,19100037 K02,1974-03-01,,,,Unknown
15485733,19260056 A,1975-11-03,,,,Unknown
15485741,19100037 I,1974-03-13,,,,Unknown
15485832,19100037 Q06,1974-04-12,,,,Unknown
15485832,19100037 J,1974-04-12,,,,Unknown
15486301,19100037 Q01,1973-09-04,,,,Unknown
15486301,19100037 F06,1973-09-04,,,,Unknown
15486376,19100037 Q06,1973-09-14,,,,Unknown
15486509,19100037 Q08,1973-11-06,,,,Unknown
15486574,19100037 Q05,1973-12-26,,,,Unknown
15486582,19100037 Q01,1974-01-14,,,,Unknown
15486608,19100037 Q01,1974-01-11,25.0,,,Unknown
15486616,19100037 Q01,1974-01-11,,,,Unknown
15486624,19100037 Q01,1974-02-04,60.0,,,Unknown
15486749,19100037 K02,1974-04-03,,,,Unknown
15486939,19100037 K02,1974-06-03,25.0,,,Unknown
15486947,19100037 Q06,1974-07-31,,,,Unknown
15487028,19100037 Q01,1975-02-12,,,,Unknown
15487051,19100037 Q01,1974-05-01,,,,Unknown
15487077,19100037 K01,1974-04-24,,,,Unknown
15487077,19100037 Q06,1974-04-24,,,,Unknown
15487119,19100037 K01,1974-05-08,,,,Unknown
15487119,19100037 K02,1974-05-08,,,,Unknown
15487119,19100037 Q01,1974-05-08,,,,Unknown
15487176,19100037 Q01,1974-06-19,,,,Unknown
15487176,19100037 Q02,1974-06-19,,,,Unknown
15487218,19100037 Q01,1974-06-07,,,,Unknown
15487275,19100037 K01,1974-06-21,,,,Unknown
15487275,19100037 Q01,1974-06-21,,,,Unknown
15487275,19100037 F06,1974-06-21,,,,Unknown
15487325,19100037 K02,1974-06-26,25.0,,,Unknown
