activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
214630147,19100037 K02,1974-06-28,,,,Unknown
214630162,19100037 Q01,1974-06-28,,,,Unknown
214630170,19100037 Q01,1974-07-09,,,,Unknown
214630246,19100037 K02,1974-07-15,,,,Unknown
214630287,19100037 Q01,1974-08-22,,,,Unknown
214630493,19100037 Q01,1974-09-13,,,,Unknown
214630493,19100037 Q04,1974-09-13,,,,Unknown
214630543,19100037 Q01,1974-09-17,,,,Unknown
214630550,19100037 Q01,1974-09-17,,,,Unknown
214630576,19100037 Q01,1974-09-19,,,,Unknown
214630592,19100037 Q01,1974-09-23,,,,Unknown
214630774,19100037 Q01,1974-11-06,,,,Unknown
214630824,19100037 Q01,1974-11-14,,,,Unknown
214630832,19100037 Q01,1975-07-29,,,,Unknown
214630840,19100037 Q01,1975-08-11,,,,Unknown
214630873,19100037 Q01,1975-08-07,,,,Unknown
214630964,19100037 Q01,1975-09-12,,,,Unknown
214631038,19100037 Q01,1975-09-19,,,,Unknown
214631087,19100037 Q01,1975-09-30,,,,Unknown
214631103,19100037 K02,1975-10-02,,,,Unknown
214631111,19100037 Q01,1975-10-03,,,,Unknown
214631129,19100037 Q01,1975-10-03,,,,Unknown
214631137,19100037 Q01,1975-10-06,,,,Unknown
214631178,19100037 Q01,1975-10-09,,,,Unknown
214631210,19100037 Q01,1975-10-16,,,,Unknown
214631251,19100037 Q01,1975-10-21,,,,Unknown
214631285,19100037 Q01,1975-10-29,,,,Unknown
214631285,19100037 K02,1975-10-29,,,,Unknown
214631293,19100037 K02,1975-10-29,,,,Unknown
214631335,19100037 Q01,1975-11-10,,,,Unknown
214631343,19100037 Q01,1975-11-11,,,,Unknown
214631400,19100037 Q01,1975-11-19,,,,Unknown
214631533,19100037 Q01,1975-12-08,,,,Unknown
214631558,19100037 Q01,1975-12-09,,,,Unknown
214631582,19100037 Q01,1975-12-12,,,,Unknown
214631608,19100037 Q01,1975-12-12,,,,Unknown
214631624,19100037 Q01,1975-12-19,,,,Unknown
214631681,19100037 Q01,1975-12-31,,,,Unknown
214631723,19100037 Q01,1976-01-07,,,,Unknown
214631756,19100037 K02,1976-01-13,,,,Unknown
214631798,19100037 Q01,1976-01-22,,,,Unknown
214631806,19100037 Q01,1976-01-22,,,,Unknown
214631848,19100037 Q01,1976-01-28,,,,Unknown
214631939,19100037 Q01,1976-02-10,,,,Unknown
214631954,19100037 Q01,1976-02-10,,,,Unknown
214631988,19100037 Q01,1976-02-17,,,,Unknown
214632010,19100037 Q01,1976-02-19,,,,Unknown
214632028,19100037 K02,1976-02-24,,,,Unknown
214632036,19100037 Q01,1976-02-27,,,,Unknown
214632101,19100037 Q01,1976-03-22,,,,Unknown
