activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
347478208,19100037 B07,2024-10-18,906.0,,332312,Manufacturing
347478406,19100037 A03,2024-05-29,0.0,,327991,Manufacturing
347478737,19100037 B02,2024-09-13,0.0,,531120,Office / Professional / Admin
347478737,19100037 A03,2024-09-13,5804.0,,531120,Office / Professional / Admin
347479164,19100037 A03,2024-10-03,6844.0,,445110,Retail trade
347479164,19100037 B02,2024-10-03,0.0,,445110,Retail trade
347481475,19100037 B04,2024-08-09,0.0,,722513,Other sectors
347482226,19100037 A03,2024-10-07,7604.0,,453998,Retail trade
347483422,19100037 A03,2024-09-13,8067.0,,493110,Transportation & warehousing
347486169,19100037 B05,2024-05-24,990.0,,337110,Manufacturing
347487027,19100037 B02,2024-10-21,4839.0,,561621,Office / Professional / Admin
347487050,19100037 A03,2024-08-01,3687.0,,493110,Transportation & warehousing
347487712,19100037 B02,2024-06-06,0.0,,237310,Construction
347488033,19100037 A03,2024-11-07,70982.0,,311812,Manufacturing
347488033,19100037 A03,2024-11-07,7098.0,,311812,Manufacturing
347490062,19100037 B01,2024-07-08,0.0,,237310,Construction
347491136,19100037 A04,2024-05-31,7000.0,,611110,Education
347491656,19100037 A03,2024-05-24,0.0,,921190,Public administration
347491656,19100037 B02,2024-05-24,0.0,,921190,Public administration
347491854,19100037 A04,2024-08-07,2040.0,,621910,Health care & social assistance
347491896,19100037 A03,2024-10-07,0.0,,333999,Manufacturing
347492167,19100037 A03,2024-06-26,0.0,,335991,Manufacturing
347493363,19100037 B06,2024-09-25,975.0,,493110,Transportation & warehousing
347494148,19100037 A03,2024-07-23,9218.0,,221320,Other sectors
347494239,19100037 E,2024-11-20,11292.0,,221111,Other sectors
347495418,19100037 B02,2024-06-26,0.0,,721120,Other sectors
347495541,19100037 A03,2024-06-20,11162.0,,452319,Retail trade
347496176,19100037 B06,2024-08-27,0.0,,492110,Transportation & warehousing
347496267,19100037 B02,2024-11-20,906.0,,336612,Manufacturing
347496523,19100037 B01,2024-06-03,0.0,,611110,Education
347497539,19100037 B01,2024-07-08,0.0,,237310,Construction
347497976,19100037 A04,2024-06-13,2800.0,,237310,Construction
347499071,19100037 B02,2024-11-14,450.0,2434,337110,Manufacturing
347499071,19100037 A03,2024-11-14,750.0,2434,337110,Manufacturing
347501363,19100037 A04,2024-06-03,7000.0,,561210,Office / Professional / Admin
347501363,19100037 B04,2024-06-03,7000.0,,561210,Office / Professional / Admin
347505190,19100037 B02,2024-08-01,4839.0,,444110,Retail trade
347505190,19100037 B04,2024-08-01,0.0,,444110,Retail trade
347505927,19100037 A03,2024-07-25,375.0,3498,332996,Manufacturing
347506057,19100037 B06,2024-07-09,0.0,5999,453998,Retail trade
347506834,19100037 A04,2024-11-18,0.0,,493110,Transportation & warehousing
347506875,19100037 B01,2024-05-31,0.0,,921110,Public administration
347507790,19100037 A01,2024-11-08,3687.0,,336120,Manufacturing
347508053,19100037 A03,2024-11-18,0.0,,712110,Other sectors
347509804,19100037 B07,2024-08-09,906.0,,722511,Other sectors
347510604,19100037 B02,2024-07-10,0.0,,611310,Education
347511735,19100037 B04,2024-06-17,1950.0,4225,493110,Transportation & warehousing
347512667,19100037 B01,2024-07-09,0.0,,237310,Construction
347512667,19100037 B02,2024-07-09,0.0,,237310,Construction
347514143,19100037 B06,2024-11-14,0.0,,221320,Other sectors
347514960,19100037 B06,2024-11-20,4839.0,,327390,Manufacturing
347515108,19100037 A03,2024-09-25,0.0,9221,922120,Public administration
347515934,19100037 A03,2024-10-23,3687.0,,493110,Transportation & warehousing
347517732,19100037 A02,2024-08-13,518.0,,811191,Other sectors
347518011,19100037 A03,2024-11-26,153742.0,,452319,Retail trade
347518839,19100037 B05,2024-09-04,0.0,,924120,Public administration
347518839,19100037 B02,2024-09-04,0.0,,924120,Public administration
347518839,19100037 B06,2024-09-04,0.0,,924120,Public administration
347518946,19100037 B02,2024-10-18,0.0,,111421,Other sectors
347519001,19100037 B01,2024-10-21,0.0,,424910,Other sectors
347519381,19100037 A03,2024-10-23,0.0,5411,445110,Retail trade
347519795,19100037 B06,2024-11-18,0.0,,332312,Manufacturing
347520215,19100037 B02,2024-08-08,0.0,,237310,Construction
347520645,19100037 A03,2024-06-06,7000.0,,921190,Public administration
347520678,19100037 A03,2024-09-18,9795.0,,722310,Other sectors
347521502,19100037 B02,2024-10-25,0.0,,493120,Transportation & warehousing
347521502,19100037 B05,2024-10-25,0.0,,493120,Transportation & warehousing
347521502,19100037 B06,2024-10-25,0.0,,493120,Transportation & warehousing
347521882,19100037 A04,2024-06-14,2800.0,,611310,Education
347522815,19100037 B02,2024-10-31,0.0,,221330,Other sectors
347524027,19100037 B04,2024-09-19,1700.0,,622110,Health care & social assistance
347524167,19100037 B06,2024-06-18,0.0,,336390,Manufacturing
347524571,19100037 B05,2024-06-24,1000.0,,423390,Other sectors
347526279,19100037 A03,2024-09-13,0.0,,493110,Transportation & warehousing
347527061,19100037 A03,2024-11-20,0.0,,321918,Manufacturing
347527095,19100037 A03,2024-06-24,0.0,,624230,Health care & social assistance
347527251,19100037 A01,2024-10-18,8372.0,,336999,Manufacturing
347527756,19100037 A03,2024-11-21,0.0,,561612,Office / Professional / Admin
347527871,19100037 A03,2024-11-21,6125.0,,336390,Manufacturing
347528200,19100037 B05,2024-09-04,0.0,,424420,Other sectors
347528457,19100037 B06,2024-09-10,0.0,,424420,Other sectors
347528457,19100037 B02,2024-09-10,0.0,,424420,Other sectors
347528515,19100037 A03,2024-09-18,0.0,3479,332812,Manufacturing
347529182,19100037 A03,2024-08-01,0.0,,484210,Transportation & warehousing
347529364,19100037 B02,2024-12-04,11524.0,,325180,Manufacturing
347529364,19100037 A03,2024-12-04,11524.0,,325180,Manufacturing
347529364,19100037 A02,2024-12-04,16131.0,,325180,Manufacturing
347529364,19100037 B05,2024-12-04,11524.0,,325180,Manufacturing
347529364,19100037 B06,2024-12-04,11524.0,,325180,Manufacturing
347530685,19100037 A03,2024-09-30,0.0,,321991,Manufacturing
347531816,19100037 B02,2024-11-14,6913.0,,713110,Other sectors
347531816,19100037 B04,2024-11-14,0.0,,713110,Other sectors
347531980,19100037 A04,2024-06-20,2800.0,,237310,Construction
347534331,19100037 A03,2024-09-10,0.0,,562920,Office / Professional / Admin
347534703,19100037 B01,2024-06-24,0.0,,624120,Health care & social assistance
347534737,19100037 B05,2024-06-24,0.0,,922160,Public administration
347535130,19100037 B07,2024-09-24,0.0,,921190,Public administration
347535130,19100037 A03,2024-09-24,0.0,,921190,Public administration
347535452,19100037 A03,2024-12-04,0.0,,332321,Manufacturing
347536518,19100037 A03,2024-07-08,0.0,,611710,Education
347536575,19100037 A03,2024-12-04,8296.0,,493110,Transportation & warehousing
347536963,19100037 B02,2024-08-08,2765.0,,327390,Manufacturing
347537599,19100037 A02,2024-08-22,0.0,,721110,Other sectors
347537870,19100037 A03,2024-06-28,0.0,,452319,Retail trade
347539017,19100037 A04,2024-09-30,0.0,,721110,Other sectors
347539025,19100037 A03,2024-09-09,0.0,5411,445110,Retail trade
347539884,19100037 A04,2024-07-30,0.0,,237310,Construction
347540270,19100037 B02,2024-11-15,0.0,,321992,Manufacturing
347540270,19100037 A03,2024-11-15,1950.0,,321992,Manufacturing
347540494,19100037 A03,2024-06-17,7000.0,,611310,Education
347541211,19100037 A03,2024-06-27,7000.0,,561210,Office / Professional / Admin
347542078,19100037 A03,2024-10-29,990.0,,111419,Other sectors
347543514,19100037 A03,2024-12-04,8816.0,,722513,Other sectors
347543977,19100037 B02,2024-07-29,400.0,,561210,Office / Professional / Admin
347546681,19100037 B02,2024-09-19,0.0,,312113,Manufacturing
347546764,19100037 A03,2024-09-25,0.0,,811310,Other sectors
347547630,19100037 A03,2024-07-29,0.0,,519120,Office / Professional / Admin
347549131,19100037 B02,2024-07-08,0.0,,237310,Construction
347549297,19100037 A03,2024-08-16,0.0,,323113,Manufacturing
347550345,19100037 A03,2024-11-22,518.0,,532120,Office / Professional / Admin
347550378,19100037 A03,2024-10-07,3496.0,,312120,Manufacturing
347551376,19100037 B02,2024-06-20,770.0,,332322,Manufacturing
347551889,19100037 B06,2024-10-04,0.0,,921190,Public administration
347554024,19100037 A03,2024-12-05,5920.0,,444110,Retail trade
347555732,19100037 A03,2024-08-12,360.0,,237310,Construction
347556391,19100037 B02,2024-07-10,0.0,,712190,Other sectors
347557035,19100037 B02,2024-09-30,0.0,,493110,Transportation & warehousing
347557118,19100037 A03,2024-12-09,0.0,3714,336399,Manufacturing
347559049,19100037 B06,2024-08-07,0.0,,444220,Retail trade
347559916,19100037 B01,2024-09-23,11524.0,,452311,Retail trade
347559916,19100037 B04,2024-09-23,1294.0,,452311,Retail trade
347559965,19100037 A03,2024-07-08,11524.0,,311812,Manufacturing
347560567,19100037 A03,2024-12-03,2765.0,,532289,Office / Professional / Admin
347560567,19100037 B06,2024-12-03,0.0,,532289,Office / Professional / Admin
347560682,19100037 B06,2024-06-28,0.0,,611110,Education
347562258,19100037 B05,2024-07-30,0.0,,611110,Education
347562258,19100037 A03,2024-07-30,0.0,,611110,Education
347563116,19100037 A03,2024-09-17,2125.0,,493110,Transportation & warehousing
347563165,19100037 B02,2024-09-18,0.0,,921140,Public administration
347563165,19100037 B04,2024-09-18,0.0,,921140,Public administration
347563165,19100037 B05,2024-09-18,0.0,,921140,Public administration
347563835,19100037 A03,2024-09-26,8067.0,,332322,Manufacturing
347563892,19100037 A03,2024-08-28,600.0,,453310,Retail trade
347566531,19100037 A03,2024-12-13,0.0,,424320,Other sectors
347569402,19100037 B02,2024-06-27,0.0,8361,623312,Health care & social assistance
347569485,19100037 B06,2024-12-11,0.0,3325,331513,Manufacturing
347569568,19100037 B04,2024-07-11,1200.0,,311514,Manufacturing
347570111,19100037 A03,2024-12-10,9218.0,,811111,Other sectors
347570145,19100037 B02,2024-07-22,0.0,,337110,Manufacturing
347570384,19100037 B01,2024-06-26,0.0,,488119,Transportation & warehousing
347570764,19100037 B06,2024-09-24,0.0,,424510,Other sectors
347572281,19100037 A03,2024-10-22,1400.0,,333120,Manufacturing
347572430,19100037 A03,2024-08-01,280.0,,812910,Other sectors
347572869,19100037 A03,2024-07-22,7604.0,,424470,Other sectors
347576530,19100037 A03,2024-11-19,2600.0,,339994,Manufacturing
347576530,19100037 B01,2024-11-19,0.0,,339994,Manufacturing
347576530,19100037 B06,2024-11-19,0.0,,339994,Manufacturing
347576688,19100037 A03,2024-07-30,0.0,,442110,Retail trade
347577165,19100037 B02,2024-11-19,1100.0,,493110,Transportation & warehousing
347578205,19100037 B02,2024-08-29,300.0,,562910,Office / Professional / Admin
347579799,19100037 B04,2024-11-12,0.0,,423930,Other sectors
347580359,19100037 A03,2024-08-14,350.0,,921110,Public administration
347580359,19100037 B02,2024-08-14,0.0,,921110,Public administration
347580359,19100037 B04,2024-08-14,0.0,,921110,Public administration
347580706,19100037 B06,2024-10-07,0.0,,311811,Manufacturing
347580771,19100037 A03,2024-11-29,0.0,,444190,Retail trade
347580771,19100037 B02,2024-11-29,1165.0,,444190,Retail trade
347581043,19100037 B06,2024-09-30,2765.0,,332999,Manufacturing
347581498,19100037 B04,2024-09-26,3687.0,,423910,Other sectors
347581928,19100037 B06,2024-08-15,0.0,,238310,Construction
347582017,19100037 B05,2024-07-09,0.0,,326199,Manufacturing
347582017,19100037 B04,2024-07-09,7604.0,,326199,Manufacturing
347582108,19100037 A03,2024-10-03,7920.0,,221122,Other sectors
347582108,19100037 B05,2024-10-03,0.0,,221122,Other sectors
347583189,19100037 B01,2024-12-11,0.0,7922,711110,Other sectors
347583189,19100037 B04,2024-12-11,0.0,7922,711110,Other sectors
347584153,19100037 A03,2024-12-04,16131.0,,324110,Manufacturing
347585036,19100037 A04,2024-07-03,0.0,,921190,Public administration
347585036,19100037 B02,2024-07-03,0.0,,921190,Public administration
347585341,19100037 B02,2024-09-03,2700.0,,454390,Retail trade
347586406,19100037 B02,2024-09-06,0.0,,454210,Retail trade
347587321,19100037 A03,2024-07-30,0.0,,488510,Transportation & warehousing
347587669,19100037 A04,2024-08-01,0.0,,926120,Public administration
347588436,19100037 B01,2024-12-19,8067.0,,493110,Transportation & warehousing
347589624,19100037 A04,2024-07-15,2800.0,,237310,Construction
347590200,19100037 A03,2024-12-25,0.0,,452210,Retail trade
347590200,19100037 A04,2024-12-25,0.0,,452210,Retail trade
347590333,19100037 A03,2025-09-17,0.0,,924120,Public administration
347590333,19100037 A04,2025-09-17,0.0,,924120,Public administration
347590341,19100037 A03,2024-10-04,3687.0,,493110,Transportation & warehousing
347590341,19100037 B06,2024-10-04,3687.0,,493110,Transportation & warehousing
347592040,19100037 A04,2024-12-05,2125.0,,221310,Other sectors
347592339,19100037 A03,2024-10-04,2550.0,,424320,Other sectors
347592651,19100037 B05,2024-08-23,0.0,,713210,Other sectors
347592651,19100037 B02,2024-08-23,0.0,,713210,Other sectors
347592958,19100037 B02,2024-08-14,350.0,,519120,Office / Professional / Admin
347592958,19100037 B04,2024-08-14,0.0,,519120,Office / Professional / Admin
347593691,19100037 B06,2024-09-09,0.0,,237310,Construction
347594459,19100037 A03,2024-12-16,4700.0,,424110,Other sectors
347594731,19100037 B02,2024-08-29,250.0,,311811,Manufacturing
347595688,19100037 A03,2024-10-11,6913.0,,453998,Retail trade
347596157,19100037 A03,2024-12-16,0.0,,423440,Other sectors
347596157,19100037 B02,2024-12-16,0.0,,423440,Other sectors
347596439,19100037 A03,2024-10-17,161323.0,,452311,Retail trade
347596900,19100037 B02,2024-07-23,0.0,,451110,Retail trade
347597742,19100037 B02,2024-08-05,300.0,,541940,Office / Professional / Admin
347598534,19100037 B02,2024-07-12,5000.0,,237310,Construction
347598534,19100037 B04,2024-07-12,0.0,,237310,Construction
347598880,19100037 B05,2024-09-09,175.0,,493110,Transportation & warehousing
347598930,19100037 B02,2024-12-05,0.0,,926120,Public administration
347599029,19100037 B02,2024-08-14,350.0,,221320,Other sectors
347599912,19100037 B02,2024-10-23,0.0,5211,444110,Retail trade
347599912,19100037 A03,2024-10-23,0.0,5211,444110,Retail trade
347600819,19100037 A03,2024-12-13,2765.0,,423390,Other sectors
347600959,19100037 B04,2024-09-13,6844.0,,321999,Manufacturing
347601650,19100037 A03,2024-09-03,8643.0,,445110,Retail trade
347601650,19100037 B02,2024-09-03,0.0,,445110,Retail trade
347602526,19100037 A03,2024-11-25,88721.0,,811198,Other sectors
347602989,19100037 B04,2024-09-09,6222.0,,333999,Manufacturing
347604084,19100037 A03,2024-08-09,720.0,,713910,Other sectors
347604498,19100037 A03,2024-12-02,9218.0,,541614,Office / Professional / Admin
347605198,19100037 A03,2024-08-08,34565.0,,453998,Retail trade
347605545,19100037 A03,2024-12-04,16131.0,,722513,Other sectors
347606394,19100037 A03,2024-12-31,0.0,,811121,Other sectors
347606535,19100037 B01,2024-08-08,0.0,,237310,Construction
347606691,19100037 B02,2024-10-22,0.0,,236210,Construction
347607400,19100037 B05,2024-11-05,0.0,,335122,Manufacturing
347607681,19100037 B02,2025-01-03,2800.0,9199,921190,Public administration
347607749,19100037 B02,2024-08-13,300.0,,541940,Office / Professional / Admin
347608127,19100037 B04,2024-07-29,0.0,,491110,Transportation & warehousing
347608358,19100037 A04,2024-07-29,0.0,,237310,Construction
347608523,19100037 B01,2024-07-29,0.0,,237310,Construction
347608523,19100037 B02,2024-07-29,0.0,,237310,Construction
347608606,19100037 A03,2024-07-18,0.0,,924120,Public administration
347608648,19100037 B02,2024-07-19,0.0,,561790,Office / Professional / Admin
347609026,19100037 B05,2024-09-25,1750.0,,238390,Construction
347609620,19100037 B05,2024-09-13,0.0,,561990,Office / Professional / Admin
347609745,19100037 A03,2024-10-03,6913.0,,722511,Other sectors
347609851,19100037 A03,2024-08-01,6453.0,,493110,Transportation & warehousing
347609851,19100037 B02,2024-08-01,0.0,,493110,Transportation & warehousing
347610693,19100037 B02,2024-10-18,1294.0,,115113,Other sectors
347610750,19100037 B05,2024-09-27,0.0,,561431,Office / Professional / Admin
347610859,19100037 A04,2025-01-02,0.0,9199,921190,Public administration
347610859,19100037 B06,2025-01-02,0.0,9199,921190,Public administration
347610859,19100037 A03,2025-01-02,3500.0,9199,921190,Public administration
347611659,19100037 A04,2024-09-17,0.0,,237310,Construction
347613713,19100037 A04,2024-07-25,600.0,,237310,Construction
347613713,19100037 A03,2024-07-25,0.0,,237310,Construction
347614471,19100037 B02,2024-09-20,3200.0,,541940,Office / Professional / Admin
347615981,19100037 B06,2024-10-01,0.0,,237310,Construction
347618944,19100037 B05,2024-12-12,0.0,,722511,Other sectors
347619520,19100037 B01,2024-09-03,0.0,,221310,Other sectors
347619595,19100037 B05,2024-08-22,0.0,,621498,Health care & social assistance
347619595,19100037 B04,2024-08-22,0.0,,621498,Health care & social assistance
347619595,19100037 B02,2024-08-22,0.0,,621498,Health care & social assistance
347619801,19100037 B02,2024-10-31,100.0,,238990,Construction
347621724,19100037 E,2025-01-03,16131.0,,445110,Retail trade
347622540,19100037 B05,2024-09-09,0.0,,922150,Public administration
347622698,19100037 A03,2025-01-15,76054.0,,492110,Transportation & warehousing
347622797,19100037 A04,2024-07-26,2800.0,,237310,Construction
347622854,19100037 B01,2024-07-30,0.0,,237310,Construction
347622854,19100037 B02,2024-07-30,0.0,,237310,Construction
347623019,19100037 B02,2024-09-12,0.0,,237310,Construction
347623076,19100037 B02,2024-09-17,0.0,,237310,Construction
347623092,19100037 B02,2024-09-24,0.0,,237310,Construction
347623183,19100037 B04,2025-01-13,0.0,,485999,Transportation & warehousing
347623480,19100037 A03,2024-10-15,2500.0,,492210,Transportation & warehousing
347625287,19100037 B02,2024-09-20,0.0,,722513,Other sectors
347625576,19100037 B02,2024-09-24,0.0,,237310,Construction
347625600,19100037 B02,2024-09-24,0.0,,237310,Construction
347626988,19100037 A03,2025-01-07,0.0,,332322,Manufacturing
347626988,19100037 B06,2025-01-07,0.0,,332322,Manufacturing
347627424,19100037 B03,2024-12-11,8228.0,,721110,Other sectors
347627424,19100037 A03,2024-12-11,6857.0,,721110,Other sectors
347628786,19100037 B01,2024-07-30,0.0,,237310,Construction
347628786,19100037 B02,2024-07-30,0.0,,237310,Construction
347629222,19100037 A03,2025-01-08,990.0,,327991,Manufacturing
