activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
100578,19100037 K02,1984-02-09,,2385,000000,Other sectors
101790,19100037 K01,1984-03-27,,5651,000000,Other sectors
102525,19100037 K02,1984-04-03,,4111,000000,Other sectors
102673,19100037 F01,1984-04-03,,2091,000000,Other sectors
103457,19100037 Q01,1984-02-08,,2499,000000,Other sectors
103739,19100037 K02,1984-02-09,,3089,000000,Other sectors
104018,19100037 D02,1984-02-09,,3089,000000,Other sectors
104117,19100037 K02,1984-02-24,,3089,000000,Other sectors
110098,19100037 Q05,1984-03-01,,3429,000000,Other sectors
110221,19100037 Q02,1984-03-12,,2782,000000,Other sectors
110270,19100037 K02,1984-03-19,,3442,000000,Other sectors
110270,19100037 Q02,1984-03-19,,3442,000000,Other sectors
110486,19100037 F06,1984-02-24,,3679,000000,Other sectors
110486,19100037 K02,1984-02-24,,3679,000000,Other sectors
110593,19100037 F06,1984-03-22,,2711,000000,Other sectors
110734,19100037 K02,1984-03-06,,3444,000000,Other sectors
110767,19100037 K02,1984-03-08,,3089,000000,Other sectors
110809,19100037 Q02,1984-03-06,,3955,000000,Other sectors
110882,19100037 Q01,1984-03-06,,2759,000000,Other sectors
110882,19100037 F06,1984-03-06,,2759,000000,Other sectors
111823,19100037 Q05,1984-03-06,,3674,000000,Other sectors
112292,19100037 K02,1984-02-10,,3089,000000,Other sectors
112706,19100037 Q01,1984-03-07,,1751,000000,Other sectors
112789,19100037 Q01,1984-03-05,,1731,000000,Other sectors
113118,19100037 K02,1984-02-29,,3429,000000,Other sectors
113191,19100037 Q01,1984-03-07,,3993,000000,Other sectors
113712,19100037 Q01,1984-03-07,,3089,000000,Other sectors
113712,19100037 Q05,1984-03-07,,3089,000000,Other sectors
116970,19100037 K02,1984-02-14,,7336,000000,Other sectors
117259,19100037 Q05,1984-03-02,,2789,000000,Other sectors
118059,19100037 Q01,1984-02-08,,2038,000000,Other sectors
118398,19100037 Q01,1984-03-16,,4214,000000,Other sectors
118398,19100037 Q05,1984-03-16,,4214,000000,Other sectors
118992,19100037 Q01,1984-04-03,,2241,000000,Other sectors
118992,19100037 Q05,1984-04-03,,2241,000000,Other sectors
119198,19100037 Q05,1984-03-26,,2841,000000,Other sectors
119198,19100037 K02,1984-03-26,,2841,000000,Other sectors
122358,19100037 Q01,1984-03-16,,2752,000000,Other sectors
123554,19100037 K02,1984-03-30,,3295,000000,Other sectors
124297,19100037 Q01,1984-03-30,,2752,000000,Other sectors
124297,19100037 F01,1984-03-30,,2752,000000,Other sectors
124412,19100037 Q01,1984-03-30,,5087,000000,Other sectors
125807,19100037 K02,1984-02-13,,7389,000000,Other sectors
126730,19100037 K02,1984-02-14,,3496,000000,Other sectors
127829,19100037 K02,1984-04-18,120.0,7539,000000,Other sectors
128496,19100037 F06,1984-03-14,,3297,000000,Other sectors
128686,19100037 K02,1984-04-18,,3713,000000,Other sectors
128702,19260056 A,1984-03-07,,1542,000000,Other sectors
128751,19100037 H01,1984-04-05,,2299,000000,Other sectors
128751,19100037 A,1984-04-05,280.0,2299,000000,Other sectors
129122,19100037 Q02,1984-04-10,,3544,000000,Other sectors
129403,19100037 K02,1984-03-21,,3711,000000,Other sectors
129817,19100037 H01,1984-03-02,,3542,000000,Other sectors
129817,19100037 F01,1984-03-02,,3542,000000,Other sectors
129841,19100037 Q01,1984-03-23,,3161,000000,Other sectors
129916,19100037 K02,1984-03-21,,3544,000000,Other sectors
130062,19100037 Q05,1984-03-16,,3442,000000,Other sectors
130062,19100037 K02,1984-03-16,,3442,000000,Other sectors
130062,19100037 Q01,1984-03-16,,3442,000000,Other sectors
130146,19100037 Q01,1984-03-20,,3544,000000,Other sectors
132050,19100037 Q01,1984-02-06,,3444,000000,Other sectors
132050,19100037 K02,1984-02-06,,3444,000000,Other sectors
132290,19260056 A,1984-02-15,,1742,000000,Other sectors
